City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Vao,NC,2021-08-06 17:39:S,-22.6667,167.4833,67.64,68,85,13.31
91,Berlevag,NO,2021-08-06 17:39:S,70.8578,29.0864,60.8,68,67,11.34
92,Betul,IN,2021-08-06 17:39:S,21.9153,77.8961,69.87,97,84,6.22
93,Nikolskoye,RU,2021-08-06 17:39:S,59.7035,30.7861,64.29,84,99,9.24
94,Sur,OM,2021-08-06 17:39:S,22.5667,59.5289,90.07,56,1,8.66
95,Mahanoro,MG,2021-08-06 17:39:S,-19.9,48.8,66.99,84,98,2.1
96,Azanka,RU,2021-08-06 17:39:S,58.0401,64.7893,58.91,91,91,8.34
97,Fortuna,US,2021-08-06 17:39:S,40.5982,-124.1573,73.92,70,40,3.0
98,Pevek,RU,2021-08-06 17:39:S,69.7008,170.3133,40.46,86,93,2.8
99,Arlit,NE,2021-08-06 17:39:S,18.7369,7.3853,104.59,16,3,2.59
100,Sunbury,AU,2021-08-06 17:39:S,-37.5833,144.7333,52.05,84,75,11.5
101,Gomel,BY,2021-08-06 17:39:S,52.4345,30.9754,73.38,73,90,11.18
102,Tuktoyaktuk,CA,2021-08-06 17:39:S,69.4541,-133.0374,39.2,87,90,13.8
103,Tshikapa,CD,2021-08-06 17:39:S,-6.4167,20.8,83.7,19,4,2.21
104,Amalapuram,IN,2021-08-06 17:39:S,16.5833,82.0167,82.44,75,51,2.93
105,Ponta Do Sol,PT,2021-08-06 17:39:S,32.6667,-17.1,79.43,77,28,0.92
106,Igarka,RU,2021-08-06 17:39:S,67.4667,86.5833,62.17,58,57,6.98
107,Shelburne,CA,2021-08-06 17:39:S,44.0787,-80.2041,82.24,26,38,14.0
108,Isangel,VU,2021-08-06 17:39:S,-19.55,169.2667,69.15,72,76,13.51
109,Ouadda,CF,2021-08-06 17:39:S,8.0777,22.4007,71.11,92,77,4.74
110,Sorland,NO,2021-08-06 17:39:S,67.667,12.6934,66.27,69,100,5.1
111,Avarua,CK,2021-08-06 17:39:S,-21.2078,-159.775,68.05,94,75,4.61
112,Bengkulu,ID,2021-08-06 17:39:S,-3.8004,102.2655,76.5,89,76,3.74
113,Daman,IN,2021-08-06 17:39:S,20.4167,72.85,80.74,87,100,10.58
