City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Mehamn,NO,71.0357,27.8492,63.36,60,100,6.51,overcast clouds
186,Am Timan,TD,11.0297,20.2827,73.89,87,100,4.63,light rain
187,Coihaique,CL,-45.5752,-72.0662,35.55,80,90,6.91,light rain
188,Mareeba,AU,-17.0,145.4333,68.72,73,50,6.8,scattered clouds
189,Miquelon,PM,47.0975,-56.3814,62.69,97,100,19.48,overcast clouds
190,Vanimo,PG,-2.6741,141.3028,78.39,88,100,7.78,overcast clouds
191,Platanos,GR,37.6667,21.6167,90.57,34,0,4.74,clear sky
192,Mahebourg,MU,-20.4081,57.7,75.49,60,75,11.5,broken clouds
193,Dunstable,GB,51.886,-0.521,59.59,91,75,8.05,broken clouds
194,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,96,75,13.8,broken clouds
195,Atar,MR,20.5169,-13.0499,82.78,47,21,11.23,few clouds
196,Maningrida,AU,-12.0667,134.2667,80.94,56,74,12.48,broken clouds
197,Sovetskiy,RU,61.3614,63.5842,61.63,94,100,7.96,overcast clouds
198,Mwanza,TZ,-2.5167,32.9,73.45,60,0,13.8,clear sky
199,Pitimbu,BR,-7.4706,-34.8086,72.19,81,100,17.69,overcast clouds
200,Tallahassee,US,30.4383,-84.2807,79.65,96,40,0.0,scattered clouds
201,Havelock,US,34.8791,-76.9013,80.94,94,100,4.41,overcast clouds
202,Mazatlan,MX,23.2167,-106.4167,85.01,84,75,3.0,broken clouds
203,Nishihara,JP,26.1842,127.7558,85.66,89,90,20.71,light rain
204,Kousseri,CM,12.0769,15.0306,78.76,83,88,6.91,overcast clouds
205,Okha,RU,53.5739,142.9478,56.52,73,54,16.02,broken clouds
206,Bilibino,RU,68.0546,166.4372,57.36,47,1,12.77,clear sky
207,Manta,EC,-0.95,-80.7333,70.2,85,99,8.05,overcast clouds
208,Hithadhoo,MV,-0.6,73.0833,82.11,67,91,3.83,overcast clouds
209,Muisne,EC,0.6,-80.0333,73.9,84,100,9.73,overcast clouds
210,Palmer,US,42.1584,-72.3287,69.93,90,1,0.0,clear sky
211,Jobner,IN,26.9667,75.3833,89.02,75,99,8.08,moderate rain
212,Merauke,ID,-8.4667,140.3333,79.2,74,100,18.92,overcast clouds
213,Benguela,AO,-12.5763,13.4055,73.62,80,28,5.23,scattered clouds
214,Barhi,IN,23.9,80.8,84.92,72,92,13.22,overcast clouds
215,Pinas,EC,-3.6667,-79.65,62.85,78,3,4.0,clear sky
216,Uige,AO,-7.6087,15.0613,75.87,55,21,3.15,few clouds
217,Sao Filipe,CV,14.8961,-24.4956,77.22,82,100,8.86,overcast clouds
218,Vilhena,BR,-12.7406,-60.1458,65.93,47,2,3.33,clear sky
219,Sistranda,NO,63.7256,8.834,64.9,64,77,17.92,broken clouds
220,Sobolevo,RU,54.4299,31.8996,67.14,84,100,8.39,overcast clouds
221,Yeppoon,AU,-23.1333,150.7333,73.18,77,0,7.85,clear sky
222,Springdale,US,36.1867,-94.1288,72.01,90,1,4.61,clear sky
223,Lazaro Cardenas,MX,17.9583,-102.2,78.12,83,100,3.96,overcast clouds
224,Alofi,NU,-19.0595,-169.9187,73.29,83,2,6.91,clear sky
225,Marsabit,KE,2.3284,37.9899,69.21,55,67,20.27,broken clouds
226,Ostrovnoy,RU,68.0531,39.5131,59.77,71,12,5.66,few clouds
227,Surin,TH,14.8818,103.4936,93.58,57,100,9.8,overcast clouds
228,Leningradskiy,RU,69.3833,178.4167,37.58,90,100,6.6,overcast clouds
229,Gospic,HR,44.5461,15.3747,76.69,44,4,5.26,clear sky
230,Manaus,BR,-3.1019,-60.025,79.29,89,0,4.61,clear sky
231,Pervomayskoye,RU,43.919,46.7102,103.78,14,0,25.97,clear sky
232,Villazon,BO,-22.0866,-65.5942,36.45,17,7,1.14,clear sky
233,Pozo Colorado,PY,-23.4923,-58.7972,63.43,43,0,6.29,clear sky
234,Skibotn,NO,69.3913,20.2679,60.89,54,29,7.11,scattered clouds
235,Kinwat,IN,19.6333,78.2,88.12,57,93,10.63,overcast clouds
236,Santiago Del Estero,AR,-27.7951,-64.2615,60.91,49,0,8.93,clear sky
